,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs
32,DR,3,2/4/15 00:00,4,66,50,4,00:21:00,00:51:00,00:39:00,282247,8562769,1050,19 L,Craugastoridae,Pristimantis,danae,0.2,Hoja,Activo,0.14,11.1,-,no,3Bd074,no,Una hora de lluvia moderada 16:30 - 17:50
33,AB,5,13/7/2016,5,55,150,6,00:26:00,00:46:00,00:41:00,282234,8562911,973,19L,Craugastoridae,Pristimantis,danae,0.5,Hoja,Alerta,1.3,24.1,,,5Bd079,,
34,AB,5,13/7/2016,5,55,150,6,00:26:00,00:46:00,00:36:00,281896,8562940,920,19L,Craugastoridae,Pristimantis,danae,0.5,Hoja,Alerta,0.63,20.8,,,5Bd078,,
35,AB,5,13/7/2016,5,55,150,6,00:26:00,00:46:00,00:37:00,282227,8562894,974,19L,Leptodactylidae,Adenomera,andreae,0,Suelo,Saltando,0.53,18.9,,,5Bd080,,
36,DR,3,2/6/15 00:00,6,69,50,4,00:30:00,01:00:00,00:41:00,282409,8562816,1017,19 L,Bufonidae,Rhinella,tacana,1.1,Hoja,Activo,3.38,32.8,-,no,3Bd133,no,Presencia de neblina 
37,DR,3,2/6/15 00:00,6,69,50,4,00:30:00,01:00:00,00:54:00,-,-,-,-,Craugastoridae,Oreobates,amarakaeri,0,Suelo,Saltando,2.09,29.3,-,no,3Bd135,no,Presencia de neblina 
38,DR,3,2/6/15 00:00,6,69,50,4,00:30:00,01:00:00,00:47:00,282401,8562827,1015,19 L,Craugastoridae,Pristimantis,danae,0,Hojarasca,Saltando,0.79,23.4,-,no,3Bd134,no,Presencia de neblina 
39,DR,3,2/6/15 00:00,6,69,50,4,00:30:00,01:00:00,00:46:00,282350,8562861,1088,19 L,Craugastoridae,Noblella,sp,0.1,Hoja,Activo,0.15,11.2,-,no,3Bd138,no,Presencia de neblina 
40,DR,3,2/6/15 00:00,6,69,50,4,00:30:00,01:00:00,00:46:00,282404,8562829,1086,19 L,Craugastoridae,Pristimantis,danae,0.8,Hoja,Activo,0.12,10.9,-,no,3Bd136,no,Presencia de neblina 
41,DR,3,2/6/15 00:00,6,69,50,4,00:30:00,01:00:00,00:54:00,282388,8562813,1087,19 L,Craugastoridae,Pristimantis,aff pharangobates,0.5,Musgo,Alerta,0.05,11,-,no,3Bd137,no,Presencia de neblina 
42,DR,3,2/3/15 00:00,3,65,50,4,00:33:00,01:03:00,00:50:00,282249,8562714,1004,19 L,Bufonidae,Rhinella,tacana,0.4,Tubo,Alerta,2.65,32.4,-,no,3Bd038,no,Parcialmente nublado
