,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs
111,AB,5,16/7/2016,8,42,250,6,18:00:00,18:20:00,18:19:00,282085,8562901,967,19L,Craugastoridae,Pristimantis,gagliardi,0.3,Hoja,Activo,0.62,18.4,,,5Bd130,,GPS aproximado
112,AB,5,16/7/2016,8,42,250,6,18:00:00,18:20:00,18:09:00,282115,8562912,920,19L,Craugastoridae,Pristimantis,gagliardi,0.2,Hoja,Alerta,0.18,12.4,,,5Bd131,,
113,EC,1,22/06/2014,5,29,500,3,18:05:00,18:45:00,18:12:00,-71.96168496,-13.51958997,850.183105,19 L,Craugastoridae,Oreobates,amarakaeri,0,En el suelo,Saltando,6.42,38.2,,,Bd064,UNMS 154309,Cerca a la quebrada
114,EC,1,22/06/2014,5,29,500,3,18:05:00,18:45:00,18:20:00,-71.01090699,-12.99122497,920.190491,19 L,Craugastoridae,Pristimantis,danae,0.15,En rama,Activo,1.35,25.32,,,Bd063,No colectado,En una planta de 3m. De veg secundaria
115,EC,1,22/06/2014,5,29,500,3,18:05:00,18:45:00,18:09:00,-71.01096701,-12.99122899,918.813721,19 L,Craugastoridae,Pristimantis,danae,0.15,En hojarasca,Activo,1.29,24.65,,,Bd066,No colectado,
116,EC,1,22/06/2014,5,29,500,3,18:05:00,18:45:00,18:45:00,-71.01093097,-12.99096496,917.48407,19 L,Craugastoridae,Pristimantis,aff pharangobates,0.8,En rama,Atento,0.93,23.05,,,Bd067,No colectado,
117,EC,1,22/06/2014,5,29,500,3,18:05:00,18:45:00,18:24:00,-71.01089903,-12.99119504,917.984741,19 L,Plethodontidae,Bolitoglossa,cf altamazonica,0.2,En palo roto,Trepando,0.75,32.4,,,Bd065,UNMS 154317,
118,EC,1,22/06/2014,5,29,500,3,18:05:00,18:45:00,18:41:00,-71.010821,-12.99097703,922.130249,19 L,Bufonidae,Rhinella,tacana,1.2,En hoja,Alerta,0.6,19.8,,,Bd068,No colectado,
119,RI,4,16/07/2015,3,34,500,5,18:06:00,18:30:00,18:20:00,-,-,-,-,Bufonidae,Rhinella,tacana,1,Hoja,Alerta,2.02,17,,,4Bd038,,
120,RI,4,22/07/2015,9,31,500,3,18:12:00,18:52:00,18:40:00,281935,8563098,915,,Craugastoridae,Pristimantis,aff pharangobates,0.2,Hoja,Alerta,0.55,17.4,,,4Bd125,,
121,RI,4,22/07/2015,9,31,500,3,18:12:00,18:52:00,18:29:00,281938,8563118,913,,Craugastoridae,Pristimantis,ockendeni,1.6,Hoja,Alerta,0.55,20.5,,,4Bd124,,
122,RI,4,15/07/2015,2,1,1000,3,18:12:00,18:52:00,18:50:00,281377.1748,8563124.86,840.475647,19 L,Craugastoridae,Pristimantis,ockendeni,2,Hoja,Alerta,0.37,16,,,4Bd030,,
123,RI,4,18/07/2015,5,37,250,4,18:14:00,18:44:00,18:28:00,282022,8562621,974,19 L,Craugastoridae,Pristimantis,danae,2,Musgo,Activo,3.44,34.8,,,4Bd069,,
124,RI,4,18/07/2015,5,37,250,4,18:14:00,18:44:00,18:49:00,282010.3911,8562610.779,987.476868,19 L,Craugastoridae,Pristimantis,danae,1,Rama,Alerta,1.53,26.1,,,4Bd068,,
125,AB,5,10/7/16 00:00,3,25,500,5,18:14:00,18:38:00,18:30:00,281723,8562848,867,19L,Craugastoridae,Pristimantis,aff pharangobates,0.15,Hoja,Alerta,na,na,,,No tiene,,Registro visual
126,AB,5,10/7/16 00:00,3,25,500,5,18:14:00,18:38:00,18:37:00,281755,8562824,929,19L,Craugastoridae,Noblella,sp,0.3,Hoja,Alerta,0.15,10.5,,,5Bd038,,
127,RI,4,17/07/2015,4,10,1000,3,18:17:00,18:57:00,18:50:00,-,-,-,-,Hylidae,Hypsiboas,sp nov,Desconocido,Desconocido,Desconocido,na,na,,,no,,Registro auditivo
128,RI,4,14/07/2015,1,25,500,4,18:17:00,18:47:00,18:22:00,-,-,-,-,Craugastoridae,Pristimantis,danae,1,Hoja,Alerta,3.28,33.4,,,4Bd002,,
129,RI,4,14/07/2015,1,25,500,4,18:17:00,18:47:00,18:20:00,281730.5625,8562814.948,932.683105,19 L,Bufonidae,Rhinella,tacana,1.3,Hoja,Alerta,2,26,,,4Bd004,,
130,RI,4,14/07/2015,1,25,500,4,18:17:00,18:47:00,18:38:00,-,-,-,-,Craugastoridae,Pristimantis,aff pharangobates,0.2,Hoja,Alerta,0.58,17,,,4Bd001,,
131,RI,4,14/07/2015,1,25,500,4,18:17:00,18:47:00,18:30:00,-,-,-,-,Craugastoridae,Pristimantis,aff pharangobates,0.2,Hoja,Saltando,0.52,17.7,,,4Bd003,,
132,RI,4,14/07/2015,1,25,500,4,18:17:00,18:47:00,18:34:00,281731.6084,8562778.106,933.818176,19 L,Craugastoridae,Pristimantis,gagliardi,0,Hojarasca,Atento,0.2,14,,,4Bd005,,
133,AB,5,9/7/16 00:00,2,1,1000,5,18:17:00,18:41:00,18:40:00,281365,8563106,848,19L,Craugastoridae,Oreobates,amarakaeri,0,Suelo,Saltando,1,22.1,,,5Bd025,,GPS aproximado
134,AB,5,15/7/2016,7,7,1000,5,18:19:00,18:43:00,18:23:00,281537,8563440,839,19L,Craugastoridae,Pristimantis,danae,0,Suelo,Saltando,na,na,,,No tiene,,Registro visual
135,AB,5,15/7/2016,7,7,1000,5,18:19:00,18:43:00,18:42:00,281551,8563448,832,19L,Craugastoridae,Noblella,sp,0,Suelo,Saltando,0.05,10.4,,,5Bd114,,
136,LC,2,27/09/2014,2,38,250,,18:30:00,19:10:00,18:52:00,desconocido,desconocido,desconocido,19L,Centrolenidae,Cochranella,nola,150,sobre hoja,cantando,na,na,desconocido,no tiene fotos,no,no,registro auditivo
137,LC,2,27/09/2014,2,38,250,,18:30:00,19:10:00,18:45:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,danae,70,sobre hoja,activo,0.98,24.1,0,no tiene fotos,2Bd016,no,
138,LC,2,27/09/2014,2,38,250,3,18:30:00,19:10:00,18:42:00,desconocido,desconocido,desconocido,19L,Centrolenidae,Cochranella,nola,210,sobre hoja,cantando,0.76,20.4,0,189-202,2Bd015,154357,
139,AB,5,12/7/16 00:00,5,4,1000,6,18:31:00,18:51:00,18:42:00,281429,8563282,821,19L,Craugastoridae,Pristimantis,aff pharangobates,0,Suelo,Activo,1.12,23.1,,4696-4704,5Bd065,,
140,AB,5,12/7/16 00:00,5,4,1000,6,18:31:00,18:51:00,18:43:00,281472,8563284,828,19L,Bufonidae,Rhinella,tacana,1.4,Hoja,Atento,0.5,18.9,,,5Bd066,,GPS aproximado
141,EC,1,19/06/2014,2,32,500,3,18:35:00,19:15:00,18:48:00,-71.010189,-12.98926,916.569336,19 L,Craugastoridae,Pristimantis,aff pharangobates,0.4,En una hoja,Activo,0.52,17.92,,,Bd017,No colectado,
142,EC,1,19/06/2014,2,32,500,3,18:35:00,19:15:00,18:40:00,-71.01002304,-12.98916201,901.489258,19 L,Craugastoridae,Pristimantis,aff pharangobates,0,En el suelo,Saltando,,,,,,No colectado,Cerca al punto GPS
143,EC,1,18/06/2014,1,44,250,3,18:35:00,19:12:00,18:58:00,-71.008107,-12.99101,953.930298,19 L,Craugastoridae,Pristimantis,danae,0,En el suelo,Saltando,1.78,25.32,,,Bd005,No colectado,
144,EC,1,18/06/2014,1,44,250,3,18:35:00,19:12:00,18:54:00,-71.008085,-12.990896,959.228394,19 L,Craugastoridae,Pristimantis,danae,0.1,En un pequeí±o tallo ,Sentado,0.94,22.82,,,Bd004,No colectado,
145,EC,1,18/06/2014,1,44,250,3,18:35:00,19:12:00,19:09:00,-71.008088,-12.990965,957.381287,19 L,Craugastoridae,Pristimantis,ockendeni,1.4,En una helecho arboreo,Activo,0.82,20.4,,,Bd006,No colectado,
146,RI,4,21/07/2015,8,49,150,5,18:38:00,19:02:00,19:01:00,282142,8562548,1019,19 L,Craugastoridae,Pristimantis,gagliardi,1,Hoja,Activo,0.55,18.8,,,4Bd104,,
147,RI,4,21/07/2015,8,49,150,5,18:38:00,19:02:00,18:59:00,-,-,-,-,Craugastoridae,Pristimantis,danae,0.2,Hoja,Activo,0.35,15.4,,,4Bd105,,
148,LC,2,10/5/14 00:00,10,49,150,,18:40:00,19:20:00,19:07:00,8562553,282128,1034,19L,Bufonidae,Rhinella,tacana,0,en hojarasca,activo,1.24,23.6,0,no tiene fotos,2Bd117,no,
149,LC,2,10/5/14 00:00,10,49,150,3,18:40:00,19:20:00,18:56:00,8562535,282136,1037,19L,Craugastoridae,Pristimantis,ockendeni,120,sobre hoja,alerta,0.49,17.9,0,no tiene fotos,2Bd116,no,
150,EC,1,20/06/2014,3,27,500,3,18:42:00,19:22:00,19:05:00,-71.01120103,-12.99155496,941.841309,19 L,Bufonidae,Rhinella,tacana,0.8,En hoja de bambu,Alerta,2.39,29,,,Bd031,No colectado,"Macho, se encontraba en vegetacion secundaria de arboles de 5m de diametro"
151,EC,1,26/06/2014,8,38,250,3,18:42:00,19:22:00,19:00:00,-71.00982204,-12.99360903,965.044373,19 L,Bufonidae,Rhinella,tacana,1,En hoja,Sentado,0.91,23.43,,,Bd144,No colectado,Cerca al punto GPS
152,EC,1,26/06/2014,8,38,250,3,18:42:00,19:22:00,18:53:00,-71.00702299,-12.99295298,959.76709,19 L,Craugastoridae,Pristimantis,gagliardi,1.3,En hoja,Atento,0.51,19.28,,,Bd143,No colectado,
153,EC,1,26/06/2014,8,38,250,3,18:42:00,19:22:00,19:01:00,-71.00958902,-12.99373903,982.628601,19 L,Craugastoridae,Pristimantis,gagliardi,1.3,En hoja,Atento,0.47,12.8,,,Bd142,No colectado,
154,EC,1,20/06/2014,3,27,500,3,18:42:00,19:22:00,18:52:00,-71.011339,-12.99169402,909.309021,19 L,Craugastoridae,Pristimantis,gagliardi,8.75,En el suelo,Saltando,0.42,17.45,,,Bd029,No colectado,Del punto GPS 43 al borde de la parcela (esq 3-4) 3 m en L
155,EC,1,20/06/2014,3,27,500,3,18:42:00,19:22:00,19:15:00,-71.01118997,-12.99162302,938.924744,19 L,Craugastoridae,Noblella,sp,0.15,En helecho,Activo,0.06,8.75,,,Bd030,UNMS 154306,
156,EC,1,26/06/2014,8,38,250,3,18:42:00,19:22:00,19:01:00,-71.00962599,-12.993862,958.206787,19 L,Craugastoridae,Pristimantis,danae,0.25,En hoja de herbacea,Activo,,,,,,No colectado,Se escapo
157,LC,2,10/1/14 00:00,6,3,1000,,18:43:00,19:23:00,18:44:00,8563216,281412,832,19L,Hylidae,Osteocephalus,mimeticus,150,sobre rama,activo,15.25,65,0,no tiene fotos,2Bd096,no,
158,LC,2,10/1/14 00:00,6,3,1000,3,18:43:00,19:23:00,18:48:00,-,-,-,-,Bufonidae,Rhinella,tacana,130,sobre hoja,activo,1.6,28.2,0,no tiene fotos,2bd095,no,
159,RI,4,16/07/2015,3,33,500,5,18:47:00,19:11:00,18:55:00,-,-,-,-,Centrolenidae,Cochranella,nola,2,Hoja,Alerta,1.71,20.5,,,4Bd040,,
160,RI,4,16/07/2015,3,33,500,5,18:47:00,19:11:00,18:57:00,281952.4598,8563269.383,837.876892,19 L,Craugastoridae,Pristimantis,gagliardi,0.1,Hoja,Alerta,0.22,11,,,4Bd039,,
161,RI,4,16/07/2015,3,33,500,5,18:47:00,19:11:00,19:05:00,-,-,-,-,Craugastoridae,Noblella,sp,0,Hojarasca,Alerta,0.21,10.2,,,4Bd041,,
162,LC,2,26/09/2014,1,1,1000,3,18:50:00,19:30:00,19:00:00,8536613,315950,594,19L,Craugastoridae,Pristimantis,ockendeni,75,sobre hoja,atento,na,na,desconocido,no tiene fotos,no,no,
163,LC,2,26/09/2014,1,1,1000,,18:50:00,19:30:00,19:22:00,desconocido,desconocido,desconocido,19L,Leptodactylidae,Adenomera,andreae,0,en hojarasca,cantando,na,na,,no tiene fotos,no,no,grabacion de canto
164,LC,2,28/09/2014,3,46,250,3,18:50:00,19:30:00,19:07:00,8563072,282287,957,19L,Craugastoridae,Oreobates,amarakaeri,0,en hojarasca,saltando,2.55,30.07,0,no tiene fotos,2Bd039,no,
165,LC,2,28/09/2014,3,46,250,,18:50:00,19:30:00,19:24:00,-,-,-,-,Bufonidae,Rhinella,tacana,50,sobre hoja mediana,aplanada y alerta,2.53,31.4,0,no tiene fotos,2Bd042,no,
166,LC,2,28/09/2014,3,46,250,,18:50:00,19:30:00,19:35:00,8563063,282262,955,19L,Craugastoridae,Oreobates,amarakaeri,0,en hojarasca,saltando,2.03,28.5,0,no tiene fotos,2Bd043,no,
167,LC,2,28/09/2014,3,46,250,,18:50:00,19:30:00,19:14:00,8563091,282289,957,19L,Bufonidae,Rhinella,tacana,90,sobre hoja de herbacea,cantando,1.72,29.7,0,no tiene fotos,2Bd046,no,
168,LC,2,26/09/2014,1,1,1000,,18:50:00,19:30:00,19:30:00,8536409,316222,585,19L,Craugastoridae,Pristimantis,danae,200,sobre hoja,cantando,1.35,25,0,no tiene fotos,2Bd002,no,
169,LC,2,28/09/2014,3,46,250,,18:50:00,19:30:00,19:30:00,8563047,282280,962,19L,Craugastoridae,Pristimantis,pluvialis,300,en hoja de una enredadera de un arbol caido,cantando,0.98,22.6,0,falta el codigo,2Bd045,154369,canto grabado
170,LC,2,28/09/2014,3,46,250,,18:50:00,19:30:00,19:10:00,desconocido,desconocido,desconocido,19L,Centrolenidae,Cochranella,nola,210,en hoja,cantando,0.72,22.3,0,no tiene fotos,2Bd044,no,
171,LC,2,28/09/2014,3,46,250,,18:50:00,19:30:00,19:20:00,desconocido,desconocido,desconocido,19L,Centrolenidae,Cochranella,nola,200,sobre hoja,cantando,0.66,20.48,0,no tiene fotos,2Bd041,no,
172,LC,2,28/09/2014,3,46,250,,18:50:00,19:30:00,18:50:00,8563063,282286,966,19L,Craugastoridae,Pristimantis,okmoi,100,sobre musgo de un arbol,atento,0.28,14.95,0,falta el codigo,2Bd047,154370,
173,LC,2,28/09/2014,3,46,250,,18:50:00,19:30:00,19:17:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,gagliardi,35,sobre hoja de helechos,saltando,0.22,12.52,0,falta el codigo,2Bd048,154371,
174,LC,2,28/09/2014,3,46,250,,18:50:00,19:30:00,19:15:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,sp inglenaranja,200,en hoja,cantando,0.18,13.3,0,falta el codigo,2Bd040,154368,
175,RI,4,23/07/2015,10,6,1000,5,18:53:00,19:17:00,19:10:00,281498,8563405,818,,Craugastoridae,Noblella,sp,0.2,Hoja,Activo,<0.05,10.4,,,4Bd143,,
176,EC,1,28/06/2014,10,46,250,3,18:55:00,19:35:00,19:24:00,-71.00737503,-12.99042801,954.330627,19 L,Craugastoridae,Pristimantis,danae,0,En hojarasca,Saltando,2.63,31.8,,,Bd162,No colectado,"Esta como Bd 163, CORREGIR"
177,EC,1,28/06/2014,10,46,250,3,18:55:00,19:35:00,19:32:00,-71.00737997,-12.99031201,954.132996,19 L,Craugastoridae,Pristimantis,danae,0.1,En hoja,Sentado,1.37,25.2,,,Bd163,No colectado,"Bd 164, CORREGIR"
178,EC,1,28/06/2014,10,46,250,3,18:55:00,19:35:00,19:30:00,-71.00722499,-12.99033799,941.003418,19 L,Craugastoridae,Pristimantis,aff pharangobates,0.1,En hoja,Atento,1.02,23.31,,,Bd160,No colectado,
179,LC,2,10/4/14 00:00,9,6,1000,3,18:55:00,19:35:00,19:10:00,8563389,281498,824,19L,Craugastoridae,Pristimantis,aff altamazonica,80,sobre hoja,alerta,0.38,15.6,0,no tiene fotos,2Bd107,no,
180,LC,2,10/4/14 00:00,9,6,1000,,18:55:00,19:35:00,19:27:00,8563380,281497,827,19L,Craugastoridae,Noblella,sp,0,en hojarasca,saltando,0.18,11.2,0,no tiene fotos,2Bd108,no,
181,EC,1,28/06/2014,10,46,250,3,18:55:00,19:35:00,19:22:00,-71.01152902,-12.99193298,851.426697,19 L,Craugastoridae,Noblella,sp,0,En el suelo,Saltando,0.15,11,,,Bd161,No colectado,
182,DR,3,1/31/15 00:00,1,1,1000,3,18:55:00,19:30:00,19:10:00,281372,8563141,1020,19 L,Bufonidae,Rhinella,gr margaritifera,0,Hojarasca,Saltando,1.86,27,-,106-4991/4998,3Bd002,no,Comenzo a llover 19:35
183,DR,3,1/31/15 00:00,1,1,1000,3,18:55:00,19:30:00,19:00:00,281371,8563115,845,19 L,Craugastoridae,Pristimantis,aff altamazonica,1,Hoja,Alerta,0.17,11.3,-,106-4980/106-4981,3Bd001,154415,Comenzo a llover 19:35
184,DR,3,1/31/15 00:00,1,1,1000,3,18:55:00,19:30:00,19:13:00,281364,8563140,1021,19 L,Craugastoridae,Pristimantis,aff altamazonica,0.7,Hojarasca,Atento,0.11,10.5,-,106-4986/106-4990,3Bd003,no,Comenzo a llover 19:35
185,DR,3,2/1/15 00:00,2,25,500,4,18:55:00,19:25:00,19:15:00,-,-,-,-,Craugastoridae,Pristimantis,danae,1.6,Hoja,Cantando,na,na,-,no,-,no,"Llovio por la tarde antes de la evaluacií_n, registro auditivo"
186,AB,5,16/7/2016,8,43,250,6,18:55:00,19:15:00,19:15:00,282151,8562978,958,19L,Hylidae,Scinax,ruber,1.6,Bambu,Saltando,2.27,30.4,,,5Bd137,22290,
187,AB,5,16/7/2016,8,43,250,6,18:55:00,19:15:00,19:14:00,282133,8562961,954,19L,Bufonidae,Rhinella,tacana,0.5,Hoja,Activo,1.89,27.2,,,5Bd136,,GPS aproximado
188,AB,5,16/7/2016,8,43,250,6,18:55:00,19:15:00,19:15:00,282151,8562978,958,19L,Craugastoridae,Pristimantis,olivaceus,2.5,Tronco,Alerta,0.49,18.1,,,5Bd138,,
189,AB,5,16/7/2016,8,43,250,6,18:55:00,19:15:00,18:57:00,282164,8562969,951,19L,Craugastoridae,Pristimantis,danae,0,Suelo,Saltando,0.24,15.8,,,5Bd135,,
190,AB,5,16/7/2016,8,43,250,6,18:55:00,19:15:00,19:06:00,282172,8562963,948,19L,Craugastoridae,Noblella,sp,0,Suelo,Alerta,0.09,9.2,,,5Bd134,,
191,DR,3,2/8/15 00:00,9,51,150,3,19:00:00,19:40:00,20:30:00,282151,8562555,1021,19 L,Craugastoridae,Oreobates,amarakaeri,0,Suelo,Saltando,4.3,35.7,-,no,3Bd168,no,Nublado
192,EC,1,27/06/2014,9,34,500,3,19:00:00,19:40:00,19:30:00,-71.00932399,-12.98878298,909.624817,19 L,Craugastoridae,Pristimantis,danae,1,En rama,Sentado,3.1,35.3,,,Bd154,No colectado,Cerca al punto GPS
193,DR,3,2/8/15 00:00,9,51,150,3,19:00:00,19:40:00,19:40:00,282109,8562679,994,19 L,Craugastoridae,Pristimantis,danae,0.1,Hoja,Atento,1.7,26.6,-,no,3Bd166,no,Nublado
194,DR,3,2/8/15 00:00,9,51,150,3,19:00:00,19:40:00,20:45:00,282131,8562548,1026,19 L,Bufonidae,Rhinella,tacana,1,Hoja,Alerta,1.6,28,-,no,3Bd170,no,Nublado
195,EC,1,27/06/2014,9,34,500,3,19:00:00,19:40:00,19:22:00,-71.009469,-12.98899404,908.460754,19 L,Bufonidae,Rhinella,tacana,1,En hoja,Activo,0.84,22.5,,,Bd155,No colectado,
196,EC,1,24/06/2014,6,2,1000,3,19:00:00,19:40:00,19:27:00,-71.01524103,-12.98936502,839.170654,19 L,Plethodontidae,Bolitoglossa,cf altamazonica,0.2,En hoja,Activo,0.75,34.2,,,Bd090,No colectado,"Cola = 23.15 , Ubicada en planta de 40 cm de altura"
197,DR,3,2/8/15 00:00,9,51,150,3,19:00:00,19:40:00,20:33:00,282151,8562531,1029,19 L,Leptodactylidae,Adenomera,andreae,0,Suelo,Saltando,0.35,14.3,-,no,3Bd169,no,Nublado
198,DR,3,2/8/15 00:00,9,51,150,3,19:00:00,19:40:00,19:30:00,282109,8562679,994,19 L,Bufonidae,Rhinella,tacana,0.4,Hoja,Cantando,0.35,15.6,-,no,3Bd167,no,Nublado
199,DR,3,2/8/15 00:00,9,52,150,3,19:00:00,19:40:00,19:36:00,282133,8562720,981,19 L,Craugastoridae,Pristimantis,gagliardi,0.3,Hoja,Activo,0.19,11.8,-,no,3Bd183,no,Neblina
200,EC,1,24/06/2014,6,2,1000,3,19:00:00,19:40:00,19:37:00,-71.015395,-12.98926,835.446472,19 L,Craugastoridae,Noblella,sp,0,En el suelo,Saltando,0.12,9.11,,,Bd091,No colectado,3 fotos cell JC
201,DR,3,2/8/15 00:00,9,52,150,3,19:00:00,19:40:00,19:20:00,282118,8562759,982,19 L,Craugastoridae,Noblella,sp,0,Suelo,Movilizandose,0.11,9.15,-,no,3Bd186,no,Neblina
202,DR,3,2/8/15 00:00,9,52,150,3,19:00:00,19:40:00,19:36:00,282133,8562720,981,19 L,Craugastoridae,Pristimantis,gagliardi,0.1,Hoja,Activo,0.11,10.4,-,no,3Bd184,no,Neblina
203,DR,3,2/8/15 00:00,9,52,150,3,19:00:00,19:40:00,19:26:00,282132,8562747,980,19 L,Craugastoridae,Pristimantis,gagliardi,0.3,Hoja,Activo,0.08,8.8,-,no,3Bd185,no,Neblina
204,EC,1,27/06/2014,9,34,500,3,19:00:00,19:40:00,19:29:00,-71.00942097,-12.98906998,907.840759,19 L,Craugastoridae,Pristimantis,aff pharangobates,0.15,En hoja,Atento,0.06,9.25,,,Bd153,No colectado,
205,DR,3,2/8/15 00:00,9,51,150,3,19:00:00,19:40:00,20:35:00,282145,8562517,1030,19 L,Bufonidae,Rhinella,tacana,0.5,Hoja,Atento,0.05,10.2,-,no,3Bd171,no,Nublado
206,RI,4,20/07/2015,7,4,1000,4,19:00:00,19:30:00,19:07:00,281440,8563281,785,19 L,Craugastoridae,Pristimantis,aff pharangobates,0.3,Hoja,Activo,na,na,,,no,,se escapo Registro Visual
207,RI,4,20/07/2015,7,4,1000,4,19:00:00,19:30:00,19:09:00,281440,8563281,785,,Craugastoridae,Noblella,sp,0,Hojarasca,Activo,< 0.5,8.7,,,4Bd092,,
208,DR,3,2/3/15 00:00,4,40,250,4,19:00:00,19:30:00,19:19:00,282086,8562832,1039,19 L,Bufonidae,Rhinella,tacana,0.3,Hoja,Alerta,1.09,22.8,-,no,3Bd049,no,Una hora de lluvia moderada 16:30 - 17:50
209,DR,3,2/3/15 00:00,4,40,250,4,19:00:00,19:30:00,19:28:00,282062,8562827,1040,19 L,Craugastoridae,Pristimantis,gagliardi,0.3,Rama,Saltando,0.12,13.1,-,no,3Bd048,no,Una hora de lluvia moderada 16:30 - 17:50
210,DR,3,2/2/15 00:00,3,10,1000,5,19:00:00,19:24:00,19:06:00,-,-,-,-,Craugastoridae,Noblella,sp,0,Hojarasca,Alerta,na,5.2,-,,3Bd023,no,"Luna llena, la balanza no funciono"
211,DR,3,2/2/15 00:00,3,10,1000,5,19:00:00,19:24:00,19:00:00,281708,8563608,765,19 L,Craugastoridae,Noblella,sp,0,Hojarasca,Alerta,na,9.3,-,,3Bd022,no,"Luna llena, la balanza no funciono"
212,DR,3,2/2/15 00:00,3,10,1000,5,19:00:00,19:24:00,19:24:00,281669,8563585,784,19 L,Craugastoridae,Pristimantis,gagliardi,0.1,Hoja,Alerta,na,10.3,-,,3Bd020,no,"Luna llena, la balanza no funciono"
213,DR,3,2/9/15 00:00,10,6,1000,5,19:00:00,19:24:00,19:23:00,281517,8563395,813,19 L,Craugastoridae,Pristimantis,gagliardi,0.2,Rama,Saltando,na,na,-,no,no,no,Lluvia por la tarde
214,DR,3,2/2/15 00:00,3,10,1000,5,19:00:00,19:24:00,19:20:00,281663,8563579,784,19 L,Phyllomedusidae,Callimedusa,tomopterna,2,Tallo,Alerta,3.2,44,-,,3Bd021,no,Luna llena
215,DR,3,2/2/15 00:00,3,10,1000,5,19:00:00,19:24:00,19:05:00,281656,8563616,1029,19 L,Bufonidae,Rhinella,gr margaritifera,0,Hojarasca,Atento,3,32.1,-,,3Bd019,no,Luna llena
216,DR,3,2/9/15 00:00,10,6,1000,5,19:00:00,19:24:00,19:05:00,281498,8563410,821,19 L,Bufonidae,Rhinella,gr margaritifera,0.3,Hoja,Atento,1.5,26.7,-,no,3Bd200,no,Lluvia por la tarde
217,DR,3,2/9/15 00:00,10,6,1000,5,19:00:00,19:24:00,19:12:00,281505,8563412,818,19 L,Craugastoridae,Noblella,sp,0,Hojarasca,Saltando,0.12,9.6,-,no,3Bd199,no,Lluvia por la tarde
218,DR,3,2/9/15 00:00,10,6,1000,5,19:00:00,19:24:00,19:21:00,281497,8563397,807,19 L,Craugastoridae,Pristimantis,ockendeni,0.5,Hoja,Alerta,0.11,9.6,-,no,3Bd198,no,Lluvia por la tarde
219,AB,5,9/7/16 00:00,2,2,1000,5,19:02:00,19:26:00,19:18:00,281410,8563184,837,19L,Craugastoridae,Pristimantis,gagliardi,0,Suelo,Saltando,0.23,13.9,,,5Bd026,,GPS aproximado
220,EC,1,30/06/2014,12,9,1000,3,19:03:00,19:43:00,19:43:00,-71.01316902,-12.986197,812.289307,19 L,Craugastoridae,Pristimantis,ockendeni,0.7,En hoja,Activo,1.32,25.9,,,Bd209,No colectado,Vientre blanco
221,EC,1,30/06/2014,12,9,1000,3,19:03:00,19:43:00,19:20:00,-71.01325996,-12.98628098,817.786377,19 L,Leptodactylidae,Adenomera,andreae,0,En hojarasca,Saltando,1.01,21.78,,,Bd211,No colectado,"Con 2 lineas, Cerca al punto GPS"
222,EC,1,30/06/2014,12,9,1000,3,19:03:00,19:43:00,19:18:00,-71.01313298,-12.98594504,803.363281,19 L,Craugastoridae,Pristimantis,aff pharangobates,0.2,En hoja,Atento,0.99,24.15,,,Bd210,No colectado,Con 2 lineas similar a Ameerega
223,LC,2,29/09/2014,4,9,1000,3,19:05:00,19:45:00,19:40:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,ockendeni,40,sobre hoja,activo,0.95,22.6,0,falta el codigo,2Bd064,154378,
224,LC,2,29/09/2014,4,9,1000,,19:05:00,19:45:00,19:30:00,desconocido,desconocido,desconocido,19L,Hylidae,Osteocephalus,taurinus,200,sobre rama de palmera pequena,activo,,91,0,falta el codigo,2Bd065,154377,
225,DR,3,2/4/15 00:00,5,34,500,4,19:05:00,19:35:00,19:09:00,282082,8563238,901,19 L,Craugastoridae,Pristimantis,ockendeni,1.1,Hoja,Atento,1.42,25.3,-,no,3Bd080,no,
226,DR,3,2/4/15 00:00,5,34,500,4,19:05:00,19:35:00,19:28:00,282049,8563220,1053,19 L,Craugastoridae,Pristimantis,danae,0.2,Hoja,Atento,0.27,15.2,-,no,3Bd079,no,
227,DR,3,2/4/15 00:00,5,34,500,4,19:05:00,19:35:00,19:22:00,282046,8563224,897,19 L,Craugastoridae,Pristimantis,danae,0.1,Hoja,Alerta,0.26,15,-,no,3Bd082,no,
228,DR,3,2/4/15 00:00,5,34,500,4,19:05:00,19:35:00,19:30:00,282037,8563227,897,19 L,Craugastoridae,Noblella,sp,0,Hojarasca,Saltando,0.13,10.7,-,no,3Bd078,no,
229,DR,3,2/4/15 00:00,5,34,500,4,19:05:00,19:35:00,19:33:00,282002,8563213,1054,19 L,Craugastoridae,Pristimantis,gagliardi,0.3,Hoja,Alerta,0.06,7.7,-,no,3Bd081,no,
230,RI,4,17/07/2015,4,9,1000,3,19:06:00,19:46:00,19:15:00,281647.7699,8563569.843,804.627686,19 L,Craugastoridae,Pristimantis,danae,1.3,Hoja,Alerta,4.43,40.4,,,4Bd061,,
