,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs,Year,Month,Date2,OPE,Rain,S_fuel,S_hour,S_hr/pp,S_peeps,flights,Temp,Hum,Luna,Elev
24,LC,2,2014-09-27,1,30,500,3.0,00:20:00,01:00:00,00:23:00,,,,,Bufonidae,Rhinella,tacana,,,cantando,,,,,,,registro auditivo,2014,9,27,15.0,4.5,303.0,2350.0,12.176165803108809,193.0,1.0,20.75,98.526,0.08,938.0
25,LC,2,2014-09-29,3,66,50,3.0,00:20:00,01:00:00,00:22:00,8562750.0,282242.0,1002.0,19L,Phyllomedusidae,Phyllomedusa,camba,200.0,en el tronco de un arbol delgado,casi durmiendo,33.05,83.6,,,2Bd058,154376,,2014,9,29,15.0,0.0,462.0,2350.0,11.868686868686869,198.0,15.0,18.5,102.163,0.23,1008.5
26,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:25:00,282246.0,8562745.0,1049.0,19L,Bufonidae,Rhinella,tacana,0.8,hoja,activo,1.57,25.7,,,3Bd076,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5
27,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:44:00,282268.0,8562778.0,1001.0,19L,Craugastoridae,Noblella,sp,0.0,hojarasca,saltando,0.33,13.7,,3670/3681,3Bd075,154425,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5
28,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:50:00,282274.0,8562771.0,1052.0,19L,Craugastoridae,Pristimantis,danae,0.5,rama,saltando,0.33,15.6,,,3Bd071,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5
29,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:40:00,282251.0,8562765.0,1051.0,19L,Leptodactylidae,Adenomera,andreae,0.0,hojarasca,saltando,0.31,14.9,,,3Bd072,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5
30,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:41:00,282251.0,8562765.0,1051.0,19L,Craugastoridae,Noblella,sp,0.0,hojarasca,saltando,0.3,12.9,,,3Bd073,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5
31,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:55:00,282280.0,8562764.0,1004.0,19L,Craugastoridae,Pristimantis,aff pharangobates,0.1,hoja,alerta,0.2,13.1,,,3Bd077,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5
32,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:39:00,282247.0,8562769.0,1050.0,19L,Craugastoridae,Pristimantis,danae,0.2,hoja,activo,0.14,11.1,,,3Bd074,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5
33,AB,5,2016-07-13,5,55,150,6.0,00:26:00,00:46:00,00:41:00,282234.0,8562911.0,973.0,19L,Craugastoridae,Pristimantis,danae,0.5,hoja,alerta,1.3,24.1,,,5Bd079,,,2016,7,13,2.0,2.2,180.0,0.0,0.0,99.0,0.0,21.0,,0.61,965.75
