,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs,Year,Month,Date2,OPE,Rain,S_fuel,S_hour,S_hr/pp,S_peeps,flights,Temp,Hum,Luna,Elev,Lat,Long
413,AB,5,2016-07-08,1,38,250,4.0,20:49:00,21:19:00,21:14:00,981.0,19L,Hylidae,Hypsiboas,sp nov,0.6,hoja,cantando,5.27,42.0,,4419-4427,5Bd004,22253,"T amb 21,6 - T agua 20,2 - Distancia de grabacion 1,5 m",2016,7,8,2.0,0.0,80.0,0.0,0.0,99.0,7.0,,,0.16,974.25,282042,8562682
414,AB,5,2016-07-08,1,38,250,4.0,20:49:00,21:19:00,21:19:00,983.0,19L,Craugastoridae,Pristimantis,danae,0.6,hoja,alerta,2.81,30.2,,,5Bd006,,,2016,7,8,2.0,0.0,80.0,0.0,0.0,99.0,7.0,,,0.16,974.25,282042,8562682
415,AB,5,2016-07-08,1,38,250,4.0,20:49:00,21:19:00,20:49:00,974.0,19L,Craugastoridae,Pristimantis,aff pharangobates,0.3,hoja,alerta,1.01,21.1,,,5Bd005,22252,,2016,7,8,2.0,0.0,80.0,0.0,0.0,99.0,7.0,,,0.16,974.25,282042,8562682
416,DR,3,2015-02-06,7,38,250,5.0,20:50:00,23:14:00,23:00:00,1098.0,19L,Craugastoridae,Pristimantis,danae,0.2,hoja,cantando,0.43,16.5,,,3Bd161,,Garua,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.5,96.0,0.96,974.25,282042,8562682
417,DR,3,2015-02-05,6,5,1000,4.0,20:54:00,21:24:00,21:03:00,1079.0,19L,Craugastoridae,Pristimantis,aff pharangobates,0.0,suelo,saltando,0.27,14.3,,,3Bd121,,,2015,2,5,7.0,3.1,170.0,920.0,13.142857142857142,70.0,1.0,22.0,105.0,0.99,826.25,281467,8563316
418,DR,3,2015-02-05,6,5,1000,4.0,20:54:00,21:24:00,21:16:00,1081.0,19L,Craugastoridae,Pristimantis,aff pharangobates,0.1,hoja,alerta,0.17,10.6,,,3Bd120,,,2015,2,5,7.0,3.1,170.0,920.0,13.142857142857142,70.0,1.0,22.0,105.0,0.99,826.25,281467,8563316
419,DR,3,2015-02-05,6,5,1000,4.0,20:54:00,21:24:00,21:16:00,1074.0,19L,Craugastoridae,Pristimantis,aff pharangobates,0.1,hoja,alerta,0.13,10.2,,,3Bd122,,,2015,2,5,7.0,3.1,170.0,920.0,13.142857142857142,70.0,1.0,22.0,105.0,0.99,826.25,281467,8563316
420,AB,5,2016-07-11,4,32,500,5.0,20:57:00,21:21:00,21:01:00,877.0,19L,Bufonidae,Rhinella,gr margaritifera,0.0,suelo,activo,17.74,60.7,,,5Bd054,,,2016,7,11,2.0,0.0,0.0,0.0,,0.0,0.0,21.5,,0.42,878.25,281568,8563440
421,AB,5,2016-07-11,4,32,500,5.0,20:57:00,21:21:00,21:16:00,907.0,19L,Craugastoridae,Pristimantis,danae,0.4,hoja,alerta,1.18,25.0,,,5Bd056,,,2016,7,11,2.0,0.0,0.0,0.0,,0.0,0.0,21.5,,0.42,878.25,281568,8563440
422,AB,5,2016-07-11,4,32,500,5.0,20:57:00,21:21:00,21:05:00,913.0,19L,Craugastoridae,Pristimantis,danae,0.1,hoja,activo,0.39,17.2,,,5Bd055,,,2016,7,11,2.0,0.0,0.0,0.0,,0.0,0.0,21.5,,0.42,878.25,281568,8563440
423,AB,5,2016-07-11,4,32,500,5.0,20:57:00,21:21:00,21:07:00,913.0,19L,Leptodactylidae,Adenomera,andreae,0.0,suelo,saltando,0.34,15.5,,,5Bd057,,,2016,7,11,2.0,0.0,0.0,0.0,,0.0,0.0,21.5,,0.42,878.25,281568,8563440
424,RI,4,2015-07-15,2,41,250,3.0,21:00:00,21:40:00,21:10:00,952.466125,19L,Bufonidae,Rhinella,tacana,1.3,hoja,alerta,1.24,23.5,,,4Bd033,,,2015,7,15,6.0,0.0,303.0,1254.0,11.0,114.0,11.0,19.5,99.522,0.01,956.0,282078,8562846
425,RI,4,2015-07-15,2,41,250,3.0,21:00:00,21:40:00,21:20:00,954.294678,19L,Craugastoridae,Pristimantis,ockendeni,0.7,hoja,alerta,0.92,22.1,,,4Bd035,,,2015,7,15,6.0,0.0,303.0,1254.0,11.0,114.0,11.0,19.5,99.522,0.01,956.0,282078,8562846
426,RI,4,2015-07-15,2,41,250,3.0,21:00:00,21:40:00,21:15:00,952.0,19L,Craugastoridae,Pristimantis,danae,0.2,hoja,alerta,0.43,17.1,,,4Bd034,,,2015,7,15,6.0,0.0,303.0,1254.0,11.0,114.0,11.0,19.5,99.522,0.01,956.0,282078,8562846
427,RI,4,2015-07-15,2,2,1000,3.0,21:00:00,21:40:00,19:48:00,841.422485,19L,Craugastoridae,Pristimantis,gagliardi,1.2,hoja,alerta,0.2,12.2,,,4Bd032,,,2015,7,15,6.0,0.0,303.0,1254.0,11.0,114.0,11.0,21.16,97.716,0.01,840.0,281404,8563149
428,DR,3,2015-02-03,4,42,250,4.0,21:00:00,21:30:00,21:07:00,1042.0,19L,Craugastoridae,Pristimantis,danae,0.1,hoja,activo,,,,,,,"Una hora de lluvia moderada 16:30 - 17:50, se escapo",2015,2,3,8.0,0.5,280.0,910.0,13.582089552238806,67.0,15.0,21.0,98.0,0.99,964.5,282085,8562901
429,DR,3,2015-02-03,4,42,250,4.0,21:00:00,21:30:00,21:20:00,959.0,19L,Craugastoridae,Pristimantis,danae,0.4,tallo,activo,4.55,39.8,,,3Bd055,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,3,8.0,0.5,280.0,910.0,13.582089552238806,67.0,15.0,21.0,98.0,0.99,964.5,282085,8562901
430,DR,3,2015-02-03,4,42,250,4.0,21:00:00,21:30:00,21:08:00,1042.0,19L,Craugastoridae,Pristimantis,gagliardi,0.4,hoja,activo,0.64,20.6,,,3Bd056,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,3,8.0,0.5,280.0,910.0,13.582089552238806,67.0,15.0,21.0,98.0,0.99,964.5,282085,8562901
431,DR,3,2015-02-03,4,42,250,4.0,21:00:00,21:30:00,21:28:00,1043.0,19L,Craugastoridae,Pristimantis,danae,0.3,hoja,atento,0.26,15.1,,,3Bd054,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,3,8.0,0.5,280.0,910.0,13.582089552238806,67.0,15.0,21.0,98.0,0.99,964.5,282085,8562901
432,EC,1,2014-06-22,5,41,250,3.0,21:01:00,21:41:00,21:40:00,967.585387999999,19L,Craugastoridae,Pristimantis,danae,0.3,en hoja,atento,2.25,32.7,,,Bd075,,A 3m del punto GPS,2014,6,22,4.0,0.0,0.0,900.0,11.11111111111111,81.0,9.0,19.0,102.0,0.25,956.0,282078,8562846
433,EC,1,2014-06-22,5,41,250,3.0,21:01:00,21:41:00,21:41:00,967.585387999999,19L,Craugastoridae,Pristimantis,danae,0.5,en hoja,activo,0.3,16.8,,,Bd081,,"A 1.5m del punto GPS, juvenil",2014,6,22,4.0,0.0,0.0,900.0,11.11111111111111,81.0,9.0,19.0,102.0,0.25,956.0,282078,8562846
434,EC,1,2014-06-22,5,41,250,3.0,21:01:00,21:41:00,21:41:00,967.585387999999,19L,Craugastoridae,Pristimantis,ockendeni,0.5,en hoja,atento,0.29,17.21,,,Bd074,,"A 2m del punto GPS, con foto",2014,6,22,4.0,0.0,0.0,900.0,11.11111111111111,81.0,9.0,19.0,102.0,0.25,956.0,282078,8562846
435,EC,1,2014-06-22,5,41,250,3.0,21:01:00,21:41:00,21:38:00,965.301757999999,19L,Craugastoridae,Noblella,sp,0.0,en el suelo,saltando,0.13,9.6,,,Bd078,,,2014,6,22,4.0,0.0,0.0,900.0,11.11111111111111,81.0,9.0,19.0,102.0,0.25,956.0,282078,8562846
436,EC,1,2014-06-22,5,41,250,3.0,21:01:00,21:41:00,21:39:00,965.301757999999,19L,Craugastoridae,Noblella,sp,0.0,en el suelo,saltando,0.13,11.0,,,Bd079,UNMS 154318,,2014,6,22,4.0,0.0,0.0,900.0,11.11111111111111,81.0,9.0,19.0,102.0,0.25,956.0,282078,8562846
437,EC,1,2014-06-22,5,41,250,3.0,21:01:00,21:41:00,21:40:00,965.301757999999,19L,Plethodontidae,Bolitoglossa,cf altamazonica,0.05,en hoja,activo,0.09,16.12,,,Bd080,,Cola = 9.1,2014,6,22,4.0,0.0,0.0,900.0,11.11111111111111,81.0,9.0,19.0,102.0,0.25,956.0,282078,8562846
438,EC,1,2014-06-22,5,41,250,3.0,21:01:00,21:41:00,21:36:00,965.301757999999,19L,Craugastoridae,Noblella,sp,0.0,en el suelo,saltando,0.05,8.3,,,Bd077,,,2014,6,22,4.0,0.0,0.0,900.0,11.11111111111111,81.0,9.0,19.0,102.0,0.25,956.0,282078,8562846
439,EC,1,2014-06-22,5,41,250,3.0,21:01:00,21:41:00,21:35:00,965.301757999999,19L,Craugastoridae,Noblella,sp,0.0,en el suelo,saltando,0.04,9.5,,,Bd076,,,2014,6,22,4.0,0.0,0.0,900.0,11.11111111111111,81.0,9.0,19.0,102.0,0.25,956.0,282078,8562846
440,AB,5,2016-07-16,8,64,50,6.0,21:04:00,21:24:00,21:14:00,1002.0,19L,Bufonidae,Rhinella,tacana,0.3,hoja,caminando,0.75,20.3,,,5Bd144,,,2016,7,16,2.0,4.4,160.0,44.0,0.44,100.0,0.0,20.0,,0.86,996.5,282189,8562639
441,AB,5,2016-07-16,8,64,50,6.0,21:04:00,21:24:00,21:06:00,1000.0,19L,Craugastoridae,Noblella,sp,0.0,suelo,alerta,0.15,9.9,,,5Bd143,,,2016,7,16,2.0,4.4,160.0,44.0,0.44,100.0,0.0,20.0,,0.86,996.5,282189,8562639
442,LC,2,2014-10-04,9,25,500,3.0,21:05:00,21:45:00,21:05:00,920.0,19L,Craugastoridae,Pristimantis,sp inglenaranja,0.0,en hojarasca,atento,,0.6,,,,,juvenil,2014,10,4,15.0,2.0,641.0,2280.0,11.813471502590673,193.0,0.0,18.75,100.885,0.76,923.75,281733,8562807
443,LC,2,2014-10-04,9,25,500,,21:05:00,21:45:00,21:33:00,926.0,19L,Craugastoridae,Noblella,sp,0.0,en hojarasca,activo,,,,,,,se escapo,2014,10,4,15.0,2.0,641.0,2280.0,11.813471502590673,193.0,0.0,18.75,100.885,0.76,923.75,281733,8562807
444,LC,2,2014-10-04,9,25,500,,21:05:00,21:45:00,21:19:00,925.0,19L,Craugastoridae,Pristimantis,ockendeni,140.0,sobre hoja,atento,1.58,25.9,,,2Bd112,,,2014,10,4,15.0,2.0,641.0,2280.0,11.813471502590673,193.0,0.0,18.75,100.885,0.76,923.75,281733,8562807
445,LC,2,2014-10-04,9,25,500,3.0,21:05:00,21:45:00,21:30:00,,19L,Craugastoridae,Pristimantis,olivaceus,10.0,sobre hoja,atento,0.99,26.0,,1032-1059,2Bd113,1544393,,2014,10,4,15.0,2.0,641.0,2280.0,11.813471502590673,193.0,0.0,18.75,100.885,0.76,923.75,281733,8562807
446,LC,2,2014-10-04,9,25,500,,21:05:00,21:45:00,21:45:00,936.0,19L,Craugastoridae,Pristimantis,gagliardi,50.0,sobre rama,saltando,0.69,19.0,,,2Bd111,,,2014,10,4,15.0,2.0,641.0,2280.0,11.813471502590673,193.0,0.0,18.75,100.885,0.76,923.75,281733,8562807
447,LC,2,2014-10-04,9,25,500,,21:05:00,21:45:00,21:43:00,933.0,19L,Craugastoridae,Noblella,sp,20.0,en hoja,alerta,0.14,10.2,,,2Bd109,,,2014,10,4,15.0,2.0,641.0,2280.0,11.813471502590673,193.0,0.0,18.75,100.885,0.76,923.75,281733,8562807
448,LC,2,2014-10-04,9,25,500,,21:05:00,21:45:00,21:33:00,926.0,19L,Craugastoridae,Noblella,sp,0.0,en hojarasca,activo,0.11,9.2,,,2Bd110,,,2014,10,4,15.0,2.0,641.0,2280.0,11.813471502590673,193.0,0.0,18.75,100.885,0.76,923.75,281733,8562807
449,RI,4,2015-07-17,4,56,150,3.0,21:07:00,21:47:00,21:23:00,962.0,19L,Bufonidae,Rhinella,tacana,0.5,hoja,alerta,2.73,30.4,,,4Bd064,,,2015,7,17,6.0,0.0,258.0,1254.0,11.0,114.0,0.0,18.583,101.6855,0.01,976.0,282275,8562940
450,RI,4,2015-07-17,4,56,150,3.0,21:07:00,21:47:00,21:26:00,963.0,19L,Craugastoridae,Pristimantis,aff pharangobates,0.2,hoja,activo,0.97,23.0,,,4Bd063,154482,,2015,7,17,6.0,0.0,258.0,1254.0,11.0,114.0,0.0,18.583,101.6855,0.01,976.0,282275,8562940
451,EC,1,2014-06-25,7,50,150,3.0,21:09:00,21:49:00,21:20:00,1020.11322,19L,Bufonidae,Rhinella,tacana,0.0,en el suelo,saltando,0.65,20.1,,,Bd130,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,102.0,0.05,1023.75,282141,8562600
452,EC,1,2014-06-25,7,50,150,3.0,21:09:00,21:49:00,21:30:00,1025.488892,19L,Bufonidae,Rhinella,tacana,2.0,en hoja,sentado,0.55,19.09,,,Bd127,,Cerca al punto GPS,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,102.0,0.05,1023.75,282141,8562600
453,EC,1,2014-06-26,8,40,250,3.0,21:09:00,21:49:00,21:22:00,960.266113,19L,Centrolenidae,Cochranella,nola,1.5,en hoja,atento,0.52,20.11,,,Bd148,,Cerca a la quebrada,2014,6,26,4.0,0.0,0.0,1020.0,11.590909090909092,88.0,5.0,20.0,119.0,0.01,962.0,282045,8562821
454,EC,1,2014-06-25,7,50,150,3.0,21:09:00,21:49:00,21:15:00,1019.94635,19L,Craugastoridae,Pristimantis,danae,0.5,en hoja,saltando,0.28,15.45,,,Bd129,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,102.0,0.05,1023.75,282141,8562600
455,EC,1,2014-06-26,8,40,250,3.0,21:09:00,21:49:00,21:38:00,963.366149999999,19L,Craugastoridae,Pristimantis,danae,0.0,en hojarasca,saltando,0.28,16.0,,,Bd147,,,2014,6,26,4.0,0.0,0.0,1020.0,11.590909090909092,88.0,5.0,20.0,119.0,0.01,962.0,282045,8562821
456,EC,1,2014-06-26,8,40,250,3.0,21:09:00,21:49:00,21:28:00,956.288086,19L,Craugastoridae,Pristimantis,gagliardi,0.3,en hoja de herbacea,activo,0.27,16.5,,,Bd146,UNMS 154334,Herbacea de 60 cm de alto,2014,6,26,4.0,0.0,0.0,1020.0,11.590909090909092,88.0,5.0,20.0,119.0,0.01,962.0,282045,8562821
457,EC,1,2014-06-25,7,50,150,3.0,21:09:00,21:49:00,21:32:00,1014.181885,19L,Craugastoridae,Noblella,sp,0.0,en hojarasca,saltando,0.23,11.8,,,Bd123,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,102.0,0.05,1023.75,282141,8562600
458,EC,1,2014-06-25,7,50,150,3.0,21:09:00,21:49:00,21:30:00,1014.181885,19L,Craugastoridae,Noblella,sp,0.0,en hojarasca,saltando,0.2,12.3,,,Bd126,UNMS 154326,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,102.0,0.05,1023.75,282141,8562600
459,EC,1,2014-06-25,7,50,150,3.0,21:09:00,21:49:00,21:37:00,1013.61993399999,19L,Craugastoridae,Noblella,sp,0.0,en hojarasca,saltando,0.19,11.8,,,Bd125,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,102.0,0.05,1023.75,282141,8562600
460,EC,1,2014-06-25,7,50,150,3.0,21:09:00,21:49:00,21:13:00,1019.94635,19L,Craugastoridae,Noblella,sp,0.0,en el suelo,saltando,0.19,11.8,,,Bd128,UNMS 154328,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,102.0,0.05,1023.75,282141,8562600
461,EC,1,2014-06-25,7,50,150,3.0,21:09:00,21:49:00,21:47:00,1020.715149,19L,Craugastoridae,Pristimantis,gagliardi,0.2,en hoja,atento,0.12,11.32,,,Bd124,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,102.0,0.05,1023.75,282141,8562600
462,RI,4,2015-07-22,9,58,150,3.0,21:10:00,21:50:00,21:47:00,993.0,,Craugastoridae,Pristimantis,danae,1.3,hoja,alerta,1.15,23.1,,,4Bd132,,,2015,7,22,6.0,0.0,840.0,1188.0,11.0,108.0,0.0,16.078,102.874,0.32,995.25,282403,8562959
463,RI,4,2015-07-22,9,58,150,3.0,21:10:00,21:50:00,21:17:00,998.0,,Craugastoridae,Pristimantis,danae,1.8,hoja,alerta,1.15,23.6,,,4Bd131,,,2015,7,22,6.0,0.0,840.0,1188.0,11.0,108.0,0.0,16.078,102.874,0.32,995.25,282403,8562959
464,RI,4,2015-07-22,9,58,150,3.0,21:10:00,21:50:00,21:42:00,997.0,,Bufonidae,Rhinella,tacana,0.6,hoja,alerta,0.65,20.0,,,4Bd129,,,2015,7,22,6.0,0.0,840.0,1188.0,11.0,108.0,0.0,16.078,102.874,0.32,995.25,282403,8562959
465,RI,4,2015-07-22,9,58,150,3.0,21:10:00,21:50:00,21:34:00,998.0,,Bufonidae,Rhinella,tacana,1.2,hoja,caminando,0.55,17.1,,,4Bd130,,,2015,7,22,6.0,0.0,840.0,1188.0,11.0,108.0,0.0,16.078,102.874,0.32,995.25,282403,8562959
466,EC,1,2014-06-21,4,54,150,3.0,21:10:00,21:50:00,21:38:00,985.128601,19L,Craugastoridae,Pristimantis,danae,0.5,en helecho,saltando,1.11,22.68,,,Bd051,,,2014,6,21,4.0,0.0,0.0,920.0,11.358024691358025,81.0,3.0,18.5,99.0,0.35,984.25,282187,8562812
467,EC,1,2014-06-21,4,54,150,3.0,21:10:00,21:50:00,21:45:00,980.189757999999,19L,Craugastoridae,Pristimantis,danae,0.0,en el suelo,saltando,0.38,16.79,,,Bd052,,,2014,6,21,4.0,0.0,0.0,920.0,11.358024691358025,81.0,3.0,18.5,99.0,0.35,984.25,282187,8562812
468,EC,1,2014-06-21,4,54,150,3.0,21:10:00,21:50:00,21:48:00,984.0578,19L,Bufonidae,Rhinella,tacana,0.4,en hoja,saltando,0.24,15.21,,,Bd050,,Ubicada a 1m a la derecha del punto GPS,2014,6,21,4.0,0.0,0.0,920.0,11.358024691358025,81.0,3.0,18.5,99.0,0.35,984.25,282187,8562812
469,EC,1,2014-06-21,4,54,150,3.0,21:10:00,21:50:00,21:40:00,984.0578,19L,Craugastoridae,Pristimantis,danae,0.5,en helecho,saltando,,,,,,,Se escapo,2014,6,21,4.0,0.0,0.0,920.0,11.358024691358025,81.0,3.0,18.5,99.0,0.35,984.25,282187,8562812
470,LC,2,2014-09-28,3,45,250,3.0,21:15:00,22:55:00,21:17:00,,19L,Craugastoridae,Pristimantis,danae,0.0,en hojarasca,saltando,1.75,28.0,,,2Bd050,,,2014,9,28,15.0,3.5,220.0,2350.0,12.176165803108809,193.0,12.0,19.5,119.255,0.15,969.25,282246,8563026
471,LC,2,2014-09-28,3,45,250,,21:15:00,22:55:00,21:20:00,,,Bufonidae,Rhinella,tacana,100.0,sobre hoja,atento,1.25,25.0,,,2Bd051,,,2014,9,28,15.0,3.5,220.0,2350.0,12.176165803108809,193.0,12.0,19.5,119.255,0.15,969.25,282246,8563026
472,LC,2,2014-09-29,4,31,500,3.0,21:20:00,22:00:00,21:28:00,,19L,Craugastoridae,Pristimantis,aff pharangobates,200.0,sobre hoja,alerta,1.1,24.0,,,2Bd066,,,2014,9,29,15.0,0.0,462.0,2350.0,11.868686868686869,198.0,15.0,20.5,98.7645,0.23,916.25,281955,8563134
473,EC,1,2014-06-29,11,62,50,3.0,21:22:00,20:02:00,21:42:00,981.113891999999,19L,Craugastoridae,Pristimantis,danae,0.0,en hojarasca,saltando,1.21,25.2,,,Bd187,,Ubicado a 10m del punto GPS,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,12.0,103.0,0.03,1050.5,282215,8562499
474,EC,1,2014-06-29,11,62,50,3.0,21:22:00,20:02:00,21:31:00,1018.104187,19L,Bufonidae,Rhinella,tacana,1.6,en hoja de bromelia,activo,0.94,22.25,,,Bd183,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,12.0,103.0,0.03,1050.5,282215,8562499
475,EC,1,2014-06-29,11,62,50,3.0,21:22:00,20:02:00,21:31:00,981.113891999999,19L,Leptodactylidae,Adenomera,andreae,0.0,en hojarasca,saltando,0.74,19.85,,,Bd186,,con 2 lineas. Ubicado a 10m del punto GPS,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,12.0,103.0,0.03,1050.5,282215,8562499
476,EC,1,2014-06-29,11,62,50,3.0,21:22:00,20:02:00,22:02:00,1041.195557,19L,Craugastoridae,Pristimantis,danae,0.5,en tallo de herbacea,activo,0.65,20.9,,,Bd184,,Con pequeña herida en la espalda,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,12.0,103.0,0.03,1050.5,282215,8562499
477,EC,1,2014-06-29,11,62,50,3.0,21:22:00,20:02:00,21:47:00,1048.86718799999,19L,Craugastoridae,Pristimantis,danae,1.0,en hoja,activo,0.3,16.0,,,Bd185,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,12.0,103.0,0.03,1050.5,282215,8562499
478,EC,1,2014-06-19,2,68,50,3.0,21:23:00,22:03:00,21:37:00,1002.402771,19L,Craugastoridae,Pristimantis,aff altamazonica,0.0,en hojarasca,activo,0.75,12.7,,,Bd020,UNMS 154299,,2014,6,19,4.0,0.0,0.0,930.0,22.142857142857142,42.0,6.0,18.0,98.5,0.57,998.5,282335,8562866
479,EC,1,2014-06-19,2,68,50,3.0,21:23:00,22:03:00,21:59:00,1006.654419,19L,Craugastoridae,Pristimantis,danae,0.4,en tallo cortado,activo,0.42,17.5,,,Bd022,,Juvenil,2014,6,19,4.0,0.0,0.0,930.0,22.142857142857142,42.0,6.0,18.0,98.5,0.57,998.5,282335,8562866
480,EC,1,2014-06-19,2,68,50,3.0,21:23:00,22:03:00,21:47:00,1003.624451,19L,Craugastoridae,Pristimantis,gagliardi,0.5,en rama caida,activo,0.22,14.1,,,Bd021,UNMS 154300,,2014,6,19,4.0,0.0,0.0,930.0,22.142857142857142,42.0,6.0,18.0,98.5,0.57,998.5,282335,8562866
481,EC,1,2014-06-19,2,68,50,3.0,21:23:00,22:03:00,22:03:00,1005.899658,19L,Craugastoridae,Noblella,sp,0.0,en hojarasca,saltando,0.1,9.8,,,Bd023,UNMS 154298,,2014,6,19,4.0,0.0,0.0,930.0,22.142857142857142,42.0,6.0,18.0,98.5,0.57,998.5,282335,8562866
482,LC,2,2014-10-05,10,61,50,,21:25:00,22:05:00,21:47:00,,19L,Craugastoridae,Pristimantis,danae,30.0,en hoja,alerta,1.76,27.1,,,2Bd122,,,2014,10,5,15.0,0.0,442.0,2280.0,11.813471502590673,193.0,12.0,22.0,93.669,0.86,1060.25,282264,8562430
483,LC,2,2014-10-05,10,61,50,,21:25:00,22:05:00,21:46:00,,19L,Craugastoridae,Pristimantis,danae,30.0,en hoja,alerta,1.56,28.4,,,2Bd123,,,2014,10,5,15.0,0.0,442.0,2280.0,11.813471502590673,193.0,12.0,22.0,93.669,0.86,1060.25,282264,8562430
484,LC,2,2014-10-05,10,61,50,,21:25:00,22:05:00,21:26:00,,19L,Craugastoridae,Pristimantis,danae,0.0,en hojarasca,saltando,1.41,26.9,,,2Bd121,,,2014,10,5,15.0,0.0,442.0,2280.0,11.813471502590673,193.0,12.0,22.0,93.669,0.86,1060.25,282264,8562430
485,LC,2,2014-10-05,10,61,50,,21:25:00,22:05:00,21:58:00,1069.0,19L,Leptodactylidae,Adenomera,andreae,0.0,en hojarasca,saltando,1.21,24.0,,,2Bd125,,sin lineas,2014,10,5,15.0,0.0,442.0,2280.0,11.813471502590673,193.0,12.0,22.0,93.669,0.86,1060.25,282264,8562430
486,LC,2,2014-10-05,10,61,50,,21:25:00,22:05:00,21:56:00,1066.0,19L,Leptodactylidae,Adenomera,andreae,0.0,en hojarasca,saltando,1.16,23.2,,,2Bd124,154395,sin lineas,2014,10,5,15.0,0.0,442.0,2280.0,11.813471502590673,193.0,12.0,22.0,93.669,0.86,1060.25,282264,8562430
487,LC,2,2014-10-05,10,61,50,3.0,21:25:00,22:05:00,21:49:00,1065.0,19L,Craugastoridae,Pristimantis,ockendeni,0.0,en hojarasca,alerta,0.27,14.9,,,2Bd120,,,2014,10,5,15.0,0.0,442.0,2280.0,11.813471502590673,193.0,12.0,22.0,93.669,0.86,1060.25,282264,8562430
488,RI,4,2015-07-20,7,46,250,4.0,21:25:00,21:55:00,21:30:00,937.0,,Hylidae,Osteocephalus,mimeticus,0.3,hoja,alerta,6.9,51.4,,,4Bd097,,,2015,7,20,6.0,0.0,110.0,1188.0,11.0,108.0,5.0,20.5,100.968,0.16,947.25,282260,8563061
489,RI,4,2015-07-20,7,46,250,4.0,21:25:00,21:55:00,21:45:00,,,Craugastoridae,Oreobates,amarakaeri,0.0,hojarasca,saltando,2.25,28.5,,,4Bd094,,,2015,7,20,6.0,0.0,110.0,1188.0,11.0,108.0,5.0,20.5,100.968,0.16,947.25,282260,8563061
490,RI,4,2015-07-20,7,46,250,4.0,21:25:00,21:55:00,21:50:00,,,Centrolenidae,Cochranella,nola,1.5,hoja,atento,1.45,26.7,,,4Bd096,,,2015,7,20,6.0,0.0,110.0,1188.0,11.0,108.0,5.0,20.5,100.968,0.16,947.25,282260,8563061
491,RI,4,2015-07-20,7,46,250,4.0,21:25:00,21:55:00,21:27:00,937.0,,Craugastoridae,Pristimantis,danae,1.0,hoja,alerta,1.25,23.5,,,4Bd093,,,2015,7,20,6.0,0.0,110.0,1188.0,11.0,108.0,5.0,20.5,100.968,0.16,947.25,282260,8563061
492,RI,4,2015-07-20,7,46,250,4.0,21:25:00,21:55:00,21:50:00,937.0,,Centrolenidae,Cochranella,nola,0.3,hoja,cantando,1.05,23.5,,,4Bd095,,,2015,7,20,6.0,0.0,110.0,1188.0,11.0,108.0,5.0,20.5,100.968,0.16,947.25,282260,8563061
493,RI,4,2015-07-20,7,46,250,4.0,21:25:00,21:55:00,21:37:00,934.0,19L,Craugastoridae,Pristimantis,aff pharangobates,0.2,hoja,saltando,0.95,23.0,,,4Bd098,154491,,2015,7,20,6.0,0.0,110.0,1188.0,11.0,108.0,5.0,20.5,100.968,0.16,947.25,282260,8563061
494,DR,3,2015-02-04,5,58,150,4.0,21:28:00,21:58:00,21:39:00,990.0,19L,Hylidae,Osteocephalus,mimeticus,1.0,tronco,alerta,4.98,51.0,,,3Bd092,,,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,20.0,100.0,1.0,995.25,282403,8562959
495,DR,3,2015-02-04,5,58,150,4.0,21:28:00,21:58:00,21:33:00,1056.0,19L,Bufonidae,Rhinella,tacana,1.8,hoja,activo,1.49,30.0,,,3Bd089,,,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,20.0,100.0,1.0,995.25,282403,8562959
496,DR,3,2015-02-04,5,58,150,4.0,21:28:00,21:58:00,21:50:00,1058.0,19L,Plethodontidae,Bolitoglossa,cf altamazonica,0.5,rama,atento,0.57,30.7,20.6,,3Bd091,,,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,20.0,100.0,1.0,995.25,282403,8562959
